s ../csv/Space BLOBz Tier S.csv 980
a ../csv/Space BLOBz Tier A.csv 7200
b ../csv/Space BLOBz Tier B.csv 11348
c ../csv/Space BLOBz Tier C.csv 17815
#,Address,BLZ,Points,S,A,B,C
107,0x7415a096eC3D3fC08bCDFfa632DcbADb840a2286,15709.407,16260,1,6,2,6
107,0xAec1028a1EfcC54Fd702A6fB409C27acb6f71041,15709.407,16260,1,6,2,6
109,0xf66d4094d0c66fC43494B453008f6853b4A45c89,15680.423,16230,1,6,2,3
110,0xbF530634f854038ba3Cf8Ed3a0f9F1c5D78DA3C1,15670.762,16220,1,6,2,2
111,0xb1A97A9070cFaa4d5653911E7D565E1EC819dF4A,15632.116,16180,1,6,1,8
112,0x0F9093c9d7fAD2829180a745e75a075E92C0E086,15603.132,16150,1,6,1,5
113,0x91628188530F7B93919C81eb4D5dFE9D93ECb5bE,15583.809,16130,1,6,1,3
114,0x7B5C0F647dd507Fbe0e124dfeefDE250c0Fba106,15458.211,16000,1,6,0,0
115,0x2Bf08f2E7bf56A5aA496ccC0D71a1D86e4b2910a,15207.015,15740,1,5,0,74
116,0x11E14b7A383F3D7B82dD63da8f9B6B4D6c392B6e,15129.724,15660,1,5,6,6
117,0x2B062E868df35D6B9749e3d9062Ab2313B3C1a5f,15042.772,15570,1,5,5,7
118,0x672C3b982325bE86E221fe5d0Eb5391ffA9CC8fC,15013.788,15540,1,4,15,4
119,0x908faCd15B6f27ACC848f578d8A2976D36a5e948,14975.142,15500,1,5,5,0
120,0xeEfA41FE64f28526123a92Afe87827B6F6F4c2A6,14965.481,15490,1,5,4,9
121,0x0b493Af26Fa61E5FF84290cA934b7c85E3195505,14897.851,15420,1,5,4,2
122,0xC06d834FB0cAd4C7A3aD1754E42F938A6DDbC2A1,14636.994,15150,1,5,1,5
123,0x144C1dba38B2AD72Ce9125Fc8e0B917aE75e2046,14569.364,15080,1,5,0,8
124,0xFED1b842a85B9F8402f716B24C2fB28A5BA42ebc,14550.041,15060,1,4,10,6
125,0x314fd5D24E1Db1fd89c5b5B96025724ac51cE18c,14521.057,15030,1,5,0,3
126,0x0d35fD6928CEd141e6aF4F5e58c02C79aEe7a9ae,14492.073,15000,1,5,0,0
127,0x3c698d1E054A921dcf46Bc213CA407E39AE4Db8d,14434.105,14940,1,4,9,4
128,0x473F1332D5352C99A38C7f4F6cf7c35db4c72508,14405.12,14910,1,4,9,1
129,0x97538e1a3821f3327Fe2a2fF4993f3d154f28B01,14347.152,14850,1,4,8,5
130,0x8b007d95cEC8Cd06293A0EaCc9b2108dDAfAfD91,14279.522,14780,1,4,7,8
131,0x19655b64BC180742F8CC62129D2B29A4b76897De,13980.02,14470,1,2,4,207
132,0x82c5B52CCEfC6e2fC0a03871B70d9f0fbDa46d07,13941.374,14430,1,4,4,3
133,0x45E13B5680B07Cb88dC5781Dfb79C66e4773E2E9,13893.067,14380,1,4,3,8
134,0x660F8e66D1183A54e85F586b61b9973Eb410A881,13796.453,14280,1,4,2,8
134,0x83eE33564EA39Cc2152baD87F1D0d464D07FA3aB,13796.453,14280,1,4,2,8
134,0x97ac402A98C33cA0194bC51377159c635Ce2f672,13796.453,14280,1,4,2,8
137,0xf845A40a01763ba1b83462BEeCee331bc4653ED1,13777.131,14260,1,4,2,6
138,0x97f156Cd2542629D7ce897D7a8d4966233b1AcC5,13661.194,14140,1,4,1,4
139,0x3F9d4869D78d34Bb5102A8743D236Dc8BE5703ea,13651.533,14130,1,4,1,3
140,0x282d656A9d95c64522F6Bc1a42EE759DE81e8dc0,13641.871,14120,1,4,1,2
140,0x572669Ea66380e5eF0df6d0F768791d0f0b014a7,13641.871,14120,1,4,1,2
140,0x7199c101324F3Af4E1089AA865f7D358696A8acB,13641.871,14120,1,4,1,2
143,0x86c16F44BC75851a9E2E16e28366aDD78169fEA9,13632.21,14110,1,4,1,1
144,0xe5b0f31b041E7730c3f8AEf407B0B4C0633EE4eE,13612.887,14090,1,4,0,9
145,0x98488C8A8005E8cae743d571d2a0f87DB288Ea99,13603.226,14080,1,4,0,8
146,0xF6A1F53026dC95152269aB4fD5De04CbaffDb528,13583.903,14060,1,4,0,6
147,0x3989242c1D1FE5D650A17A041C4A277FED777D6D,13525.935,14000,1,4,0,0
